unigram	frequency
bitter	13
ring	13
happy	13
streams	13
dearly	13
bred	13
companions	13
vaunt	13
raged	13
tall	13
displeasure	13
fame	13
washing	13
hut	13
settle	13
attend	13
ashamed	13
flies	13
beautifully	13
drinking	13
ambrosia	13
instead	13
money	13
bane	13
arete	13
mantle	13
lips	13
quiver	13
feasted	13
palace	13
ease	13
midway	13
cyclopes	13
rue	13
proserpine	13
loosed	13
companies	13
mid	13
sthenelus	13
numbers	13
contest	13
eurylochus	13
business	13
human	13
forgotten	13
slumber	13
cheeks	13
quit	13
rouse	13
omen	13
letting	13
star	12
mainland	12
hides	12
chance	12
completed	12
stained	12
station	12
moon	12
rained	12
waste	12
benches	12
bids	12
finding	12
sin	12
battalions	12
wheat	12
shepherds	12
beseech	12
dared	12
sense	12
covenant	12
sooner	12
fishes	12
battlements	12
dart	12
dog	12
divine	12
tearing	12
feel	12
heeded	12
breastplate	12
inasmuch	12
heaped	12
drank	12
gleam	12
returning	12
breaking	12
islands	12
following	12
rivers	12
loom	12
avoid	12
swords	12
carefully	12
gatehouse	12
nymph	12
sang	12
horns	12
weapon	12
dolius	12
chased	12
whence	12
beg	12
asteropaeus	12
stands	12
wailing	12
fixed	12
polybus	12
crests	12
insolent	12
rebuke	12
cretans	12
yards	12
eurynome	12
continually	12
sturdy	12
scaean	12
helenus	12
groaned	12
bastard	12
gale	12
sometimes	12
advise	12
level	12
pisander	12
laomedon	12
excel	12
pale	12
changed	12
catch	12
dolon	12
disgrace	12
euryalus	12
ceasing	12
heat	12
burden	12
leaders	12
argive	12
wheel	12
mule	12
blade	12
salt	12
fling	12
plot	12
hence	12
compassion	12
bind	12
dardanians	12
rob	12
throat	12
lofty	11
phyleus	11
elsewhere	11
acamas	11
wand	11
sacrificed	11
taste	11
olympian	11
fig	11
grieved	11
elis	11
respected	11
charged	11
hot	11
cutting	11
eetion	11
angered	11
oeneus	11
matters	11
aetolians	11
multitude	11
ours	11
prey	11
bethought	11
nodded	11
snatched	11
applause	11
pure	11
plainly	11
infinite	11
nearly	11
woke	11
touch	11
seer	11
backwards	11
troubles	11
limb	11
enjoy	11
workmanship	11
row	11
amphinomus	11
mare	11
worth	11
loaded	11
lame	11
herald	11
hearing	11
fragrant	11
yonder	11
bowed	11
mightiest	11
rugs	11
blind	11
piteously	11
enemies	11
torn	11
satisfaction	11
play	11
secret	11
eumelus	11
foul	11
burnt	11
quarrelling	11
opposite	11
henceforth	11
agreed	11
marked	11
grass	11
dress	11
sister	11
summer	11
offspring	11
chamber	11
besides	11
inlaid	11
lotus	11
stationed	11
touched	11
signs	11
prisoner	11
thankful	11
yesterday	11
pell	11
attacked	11
mell	11
planted	11
build	11
studded	11
started	11
oaths	11
sank	11
thracians	11
